personRank,movieTitle,director,person,IMDBRating,year,seen
2,Bad Timing,Nicolas Roeg,Mark Cousins,7,1980,
3,Le bonheur,Agnès Varda,Mark Cousins,7.6,1965,
4,The Marriage of Maria Braun,Rainer Werner Fassbinder,Mark Cousins,7.8,1979,
4,Lola,Rainer Werner Fassbinder,Mark Cousins,7.5,1981,
4,Veronika Voss,Rainer Werner Fassbinder,Mark Cousins,7.8,1982,
5,Close-up,Abbas Kiarostami,Mark Cousins,8.3,1990,
6,High and Low,Akira Kurosawa,Mark Cousins,8.5,1963,
7,The Insect Woman,Shohei Imamura,Mark Cousins,7.5,1963,
8,Medium Cool,Haskell Wexler,Mark Cousins,7.3,1969,
9,A River Called Titas,Ritwik Ghatak,Mark Cousins,7.5,1973,
10,Ace in the Hole,Billy Wilder,Mark Cousins,8.2,1951,
1,Down by Law,Jim Jarmusch,Jesse Malin,7.8,1986,
2,12 Angry Men,Sidney Lumet,Jesse Malin,8.9,1957,
3,"Paris, Texas",Wim Wenders,Jesse Malin,8.1,1984,
4,Paths of Glory,Stanley Kubrick,Jesse Malin,8.4,1957,
5,Umberto D.,Vittorio De Sica,Jesse Malin,8.2,1952,
6,The Royal Tenenbaums,Wes Anderson,Jesse Malin,7.6,2001,
7,Easy Rider,Dennis Hopper,Jesse Malin,7.3,1969,
8,Love Streams,John Cassavetes,Jesse Malin,7.8,1984,
9,The Fugitive Kind,Sidney Lumet,Jesse Malin,7.2,1960,
10,Shadows,John Cassavetes,Jesse Malin,7.3,1958,
10,Faces,John Cassavetes,Jesse Malin,7.7,1968,
10,A Woman Under the Influence,John Cassavetes,Jesse Malin,8.2,1974,
10,The Killing of a Chinese Bookie,John Cassavetes,Jesse Malin,7.4,1976,
10,Opening Night,John Cassavetes,Jesse Malin,8,1977,
1,The Ascent,Larisa Shepitko,Ben Wheatley,8.3,1977,
1,Wings,Larisa Shepitko,Ben Wheatley,7.7,1966,
2,Brazil,Terry Gilliam,Ben Wheatley,7.9,1985,
3,Alphaville,Jean-Luc Godard,Ben Wheatley,7.2,1965,
4,The Battle of Algiers,Gillo Pontecorvo,Ben Wheatley,8.1,1966,
5,Eraserhead,David Lynch,Ben Wheatley,7.4,1977,
6,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Ben Wheatley,7.6,1975,
7,Le samouraï,Jean-Pierre Melville,Ben Wheatley,8.1,1967,
8,Marketa Lazarová,František Vláƒçil,Ben Wheatley,8.1,1967,
9,Mishima: A Life in Four Chapters,Paul Schrader,Ben Wheatley,7.9,1985,
10,A Woman Under the Influence,John Cassavetes,Ben Wheatley,8.2,1974,
1,Eraserhead,David Lynch,Atom Egoyan,7.4,1977,
2,Belle de jour,Luis Buñuel,Atom Egoyan,7.7,1967,
3,Fat Girl,Catherine Breillat,Atom Egoyan,6.5,2001,
4,The Silence,Ingmar Bergman,Atom Egoyan,7.9,1963,
4,Through a Glass Darkly,Ingmar Bergman,Atom Egoyan,8.1,1961,
5,Vivre sa vie,Jean-Luc Godard,Atom Egoyan,8,1962,
6,8½,Federico Fellini,Atom Egoyan,8,1963,
7,On the Waterfront,Elia Kazan,Atom Egoyan,8.1,1954,
8,Elevator to the Gallows,Louis Malle,Atom Egoyan,8,1958,
9,Fists in the Pocket,Marco Bellocchio,Atom Egoyan,7.8,1965,
1,The Third Man,Carol Reed,Dick Cavett,8.1,1949,
2,Notorious,Alfred Hitchcock,Dick Cavett,7.9,1946,Yes
3,Tokyo Story,Yasujiro Ozu,Dick Cavett,8.2,1953,
4,Children of Paradise,Marcel Carné,Dick Cavett,8.4,1945,
5,To Be or Not to Be,Ernst Lubitsch,Dick Cavett,8.3,1942,
6,Sweet Smell of Success,Alexander Mackendrick,Dick Cavett,8.1,1957,
7,Kind Hearts and Coronets,Robert Hamer,Dick Cavett,8,1949,
8,On the Waterfront,Elia Kazan,Dick Cavett,8.1,1954,
1,The Third Man,Carol Reed,Marc Maron,8.1,1949,
2,Short Cuts,Robert Altman,Marc Maron,7.7,1993,
3,12 Angry Men,Sidney Lumet,Marc Maron,8.9,1957,
4,Straw Dogs,Sam Peckinpah,Marc Maron,7.5,1971,
5,Five Easy Pieces,Bob Rafelson,Marc Maron,7.5,1970,
6,The Killing,Stanley Kubrick,Marc Maron,8,1956,
7,Rosemary's Baby,Roman Polanski,Marc Maron,8,1968,Yes
8,Blow Out,Brian De Palma,Marc Maron,7.4,1981,
9,Veronika Voss,Rainer Werner Fassbinder,Marc Maron,7.8,1982,
10,The Big Chill,Lawrence Kasdan,Marc Maron,7.2,1983,
1,Love Streams,John Cassavetes,Robert Greene,7.8,1984,
2,News from Home,Chantal Akerman,Robert Greene,7.5,1977,
3,Written on the Wind,Douglas Sirk,Robert Greene,7.4,1956,
4,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Robert Greene,7.8,1969,
5,Taste of Cherry,Abbas Kiarostami,Robert Greene,7.7,1997,
6,A Woman Is a Woman,Jean-Luc Godard,Robert Greene,7.5,1961,
7,A Married Couple,Allan King,Robert Greene,7.6,1969,
8,3 Women,Robert Altman,Robert Greene,7.8,1977,
9,WR: Mysteries of the Organism,Dušan Makavejev,Robert Greene,6.9,1971,
10,Tokyo Olympiad,Kon Ichikawa,Robert Greene,7.8,1965,
1,The 400 Blows,François Truffaut,Alex Ross Perry,8.1,1959,
1,Stolen Kisses,François Truffaut,Alex Ross Perry,7.7,1968,
1,Bed & Board,François Truffaut,Alex Ross Perry,7.5,1970,
1,Love on the Run,François Truffaut,Alex Ross Perry,7.1,1979,
2,Brazil,Terry Gilliam,Alex Ross Perry,7.9,1985,
3,Down by Law,Jim Jarmusch,Alex Ross Perry,7.8,1986,
4,Withnail and I,Bruce Robinson,Alex Ross Perry,7.7,1987,
5,The Royal Tenenbaums,Wes Anderson,Alex Ross Perry,7.6,2001,
6,The Third Man,Carol Reed,Alex Ross Perry,8.1,1949,
7,RoboCop,Paul Verhoeven,Alex Ross Perry,7.5,1987,
8,Shadows,John Cassavetes,Alex Ross Perry,7.3,1958,
8,Faces,John Cassavetes,Alex Ross Perry,7.7,1968,
8,A Woman Under the Influence,John Cassavetes,Alex Ross Perry,8.2,1974,
8,The Killing of a Chinese Bookie,John Cassavetes,Alex Ross Perry,7.4,1976,
8,Opening Night,John Cassavetes,Alex Ross Perry,8,1977,
9,Videodrome,David Cronenberg,Alex Ross Perry,7.3,1983,
10,Contempt,Jean-Luc Godard,Alex Ross Perry,7.6,1963,
1,Harold and Maude,Hal Ashby,Don Hertzfeldt,7.9,1971,
2,Monty Python's Life of Brian,Terry Jones,Don Hertzfeldt,8.1,1979,
3,The Great Dictator,Charles Chaplin,Don Hertzfeldt,8.5,1940,
3,Modern Times,Charles Chaplin,Don Hertzfeldt,8.5,1936,
4,F for Fake,Orson Welles,Don Hertzfeldt,7.8,1973,
5,The Exterminating Angel,Luis Buñuel,Don Hertzfeldt,8.1,1962,
6,Koyaanisqatsi,Godfrey Reggio,Don Hertzfeldt,8.3,1982,Yes
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Don Hertzfeldt,7.9,1970,
8,Eraserhead,David Lynch,Don Hertzfeldt,7.4,1977,
9,RoboCop,Paul Verhoeven,Don Hertzfeldt,7.5,1987,
10,Lonesome,Paul Fejos,Don Hertzfeldt,7.8,1928,
11,Persian Series #1,Stan Brakhage,Don Hertzfeldt,5.3,1999,
11,Persian Series #2,Stan Brakhage,Don Hertzfeldt,5.8,1999,
1,Love Streams,John Cassavetes,Will Oldham,7.8,1984,
2,Au hasard Balthazar,Robert Bresson,Will Oldham,7.9,1966,
3,Badlands,Terrence Malick,Will Oldham,7.8,1973,
4,Burden of Dreams,Les Blank,Will Oldham,7.9,1982,
5,Chungking Express,Wong Kar-wai,Will Oldham,8.1,1994,
6,Coup de torchon,Bertrand Tavernier,Will Oldham,7.6,1981,
7,Five Easy Pieces,Bob Rafelson,Will Oldham,7.5,1970,
8,The Harder They Come,Perry Henzell,Will Oldham,6.9,1972,
9,Harold and Maude,Hal Ashby,Will Oldham,7.9,1971,
10,Floating Weeds,Yasujiro Ozu,Will Oldham,8,1959,
11,Trances,Ahmed El Ma√¢nouni,Will Oldham,6.7,1981,
12,Naked,Mike Leigh,Will Oldham,7.8,1993,
13,Solaris,Andrei Tarkovsky,Will Oldham,8.1,1972,
14,Viridiana,Luis Buñuel,Will Oldham,8.2,1961,
15,Walkabout,Nicolas Roeg,Will Oldham,7.6,1971,
1,House,Nobuhiko Obayashi,Austin Garrick,7.4,1977,
2,Seven Samurai,Akira Kurosawa,Austin Garrick,8.6,1954,
3,Breathless,Jean-Luc Godard,Austin Garrick,7.9,1960,
4,Dazed and Confused,Richard Linklater,Austin Garrick,7.6,1993,
5,Blow Out,Brian De Palma,Austin Garrick,7.4,1981,
5,Thief,Michael Mann,Austin Garrick,7.4,1981,
6,Notorious,Alfred Hitchcock,Austin Garrick,7.9,1946,Yes
6,M,Fritz Lang,Austin Garrick,8.3,1931,
7,Fish Tank,Andrea Arnold,Austin Garrick,7.3,2009,
8,Blue Is the Warmest Color,Abdellatif Kechiche,Austin Garrick,7.7,2013,
9,The Killers,Don Siegel,Austin Garrick,7.1,1964,
10,Videodrome,David Cronenberg,Austin Garrick,7.3,1983,
10,Repo Man,Alex Cox,Austin Garrick,6.9,1984,
1,L'avventura,Michelangelo Antonioni,Hossein Amini,7.9,1960,
2,Contempt,Jean-Luc Godard,Hossein Amini,7.6,1963,
3,The Fire Within,Louis Malle,Hossein Amini,8,1963,
4,La dolce vita,Federico Fellini,Hossein Amini,8,1960,
5,Le samouraï,Jean-Pierre Melville,Hossein Amini,8.1,1967,
6,Thief,Michael Mann,Hossein Amini,7.4,1981,
7,Rosemary's Baby,Roman Polanski,Hossein Amini,8,1968,Yes
8,The Third Man,Carol Reed,Hossein Amini,8.1,1949,
9,Ran,Akira Kurosawa,Hossein Amini,8.2,1958,
10,Jules and Jim,François Truffaut,Hossein Amini,7.8,1962,
1,La strada,Federico Fellini,Mary Ellen Mark,8,1954,
2,8½,Federico Fellini,Mary Ellen Mark,8,1963,
3,La dolce vita,Federico Fellini,Mary Ellen Mark,8,1960,
4,Au hasard Balthazar,Robert Bresson,Mary Ellen Mark,7.9,1966,
5,Bicycle Thieves,Vittorio De Sica,Mary Ellen Mark,8.3,1948,Yes
6,Murmur of the Heart,Louis Malle,Mary Ellen Mark,7.7,1971,
7,Ikiru,Akira Kurosawa,Mary Ellen Mark,8.3,1952,
8,Loves of a Blonde,Miloš Forman,Mary Ellen Mark,7.6,1965,
9,Tokyo Story,Yasujiro Ozu,Mary Ellen Mark,8.2,1953,
10,Repulsion,Roman Polanski,Mary Ellen Mark,7.7,1965,
1,The Night of the Hunter,Charles Laughton,K. K. Barrett,8,1955,
2,Wise Blood,John Huston,K. K. Barrett,7.1,1979,
3,The Element of Crime,Lars von Trier,K. K. Barrett,6.8,1984,
4,Mr. Freedom,William Klein,K. K. Barrett,6.5,1968,
5,The Warped Ones,Koreyoshi Kurahara,K. K. Barrett,7.1,1960,
6,Red Desert,Michelangelo Antonioni,K. K. Barrett,7.6,1964,
7,Pandora's Box,G. W. Pabst,K. K. Barrett,7.9,1929,
8,Two-Lane Blacktop,Monte Hellman,K. K. Barrett,7.2,1971,
9,Mishima: A Life in Four Chapters,Paul Schrader,K. K. Barrett,7.9,1985,
10,Ratcatcher,Lynne Ramsay,K. K. Barrett,7.5,1999,
10,Daisies,Vera Chytilová,K. K. Barrett,7.4,1966,
10,Seconds,John Frankenheimer,K. K. Barrett,7.7,1966,
10,Mala Noche,Gus Van Sant,K. K. Barrett,6.6,1986,
10,Bottle Rocket,Wes Anderson,K. K. Barrett,7,1996,Yes
10,Naked,Mike Leigh,K. K. Barrett,7.8,1993,
10,The Spirit of the Beehive,Víctor Erice,K. K. Barrett,7.9,1973,
1,Brazil,Terry Gilliam,Christopher Hobbs,7.9,1985,
2,Children of Paradise,Marcel Carné,Christopher Hobbs,8.4,1945,
3,The Leopard,Luchino Visconti,Christopher Hobbs,8,1963,
4,The Seventh Seal,Ingmar Bergman,Christopher Hobbs,8.2,1957,
5,Monsieur Hulot's Holiday,Jacques Tati,Christopher Hobbs,7.5,1953,
6,Oliver Twist,David Lean,Christopher Hobbs,7.8,1948,
7,Beauty and the Beast,Jean Cocteau,Christopher Hobbs,7.9,1946,
8,Vampyr,Carl Th. Dreyer,Christopher Hobbs,7.6,1932,
9,Black Narcissus,Michael Powell and Emeric Pressburger,Christopher Hobbs,7.8,1947,
10,The Long Day Closes,Terence Davies,Christopher Hobbs,7.4,1992,
1,The Rules of the Game,Jean Renoir,James Schamus,8.1,1939,
2,Ordet,Carl Th. Dreyer,James Schamus,8.3,1955,
3,Wild Strawberries,Ingmar Bergman,James Schamus,8.2,1957,
4,Tokyo Story,Yasujiro Ozu,James Schamus,8.2,1953,
5,Umberto D.,Vittorio De Sica,James Schamus,8.2,1952,
6,The Ascent,Larisa Shepitko,James Schamus,8.3,1977,
7,La Jetée,Chris Marker,James Schamus,8.3,1962,
8,News from Home,Chantal Akerman,James Schamus,7.5,1977,
9,Close-up,Abbas Kiarostami,James Schamus,8.3,1990,
10,Blow Out,Brian De Palma,James Schamus,7.4,1981,
1,L'Atalante,Jean Vigo,Tim Forbes,7.8,1934,
2,Badlands,Terrence Malick,Tim Forbes,7.8,1973,
3,Belle de jour,Luis Buñuel,Tim Forbes,7.7,1967,
4,Capricious Summer,Jirí Menzel,Tim Forbes,7,1968,
5,Senso,Luchino Visconti,Tim Forbes,7.5,1954,
5,In the Realm of the Senses,Nagisa Oshima,Tim Forbes,6.6,1976,
6,"Love Affair, or the Case of the Missing Switchboard Operator",Dušan Makavejev,Tim Forbes,7.4,1967,
7,Chloe in the Afternoon,Eric Rohmer,Tim Forbes,7.7,1972,
8,A Man Escaped,Robert Bresson,Tim Forbes,8.3,1956,
9,Journey to Italy,Roberto Rossellini,Tim Forbes,7.4,1954,
1,Paisan,Roberto Rossellini,Martin Scorsese,7.7,1946,
2,The Red Shoes,Michael Powell and Emeric Pressburger,Martin Scorsese,8.2,1948,
3,The River,Jean Renoir,Martin Scorsese,7.5,1951,
4,Ugetsu,Kenji Mizoguchi,Martin Scorsese,8.3,1953,
5,Ashes and Diamonds,Andrzej Wajda,Martin Scorsese,7.8,1958,
6,L'avventura,Michelangelo Antonioni,Martin Scorsese,7.9,1960,
7,Salvatore Giuliano,Francesco Rosi,Martin Scorsese,7.4,1962,
8,8½,Federico Fellini,Martin Scorsese,8,1963,
9,Contempt,Jean-Luc Godard,Martin Scorsese,7.6,1963,
10,The Leopard,Luchino Visconti,Martin Scorsese,8,1963,
1,Brazil,Terry Gilliam,Stella Mozgawa,7.9,1985,
2,Europa,Lars von Trier,Stella Mozgawa,7.6,1991,
3,PlayTime,Jacques Tati,Stella Mozgawa,7.9,1967,
4,Solaris,Andrei Tarkovsky,Stella Mozgawa,8.1,1972,
5,Cul-de-sac,Roman Polanski,Stella Mozgawa,7.1,1966,
6,8½,Federico Fellini,Stella Mozgawa,8,1963,
7,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Stella Mozgawa,7.6,1975,
7,The Beales of Grey Gardens,Albert Maysles and David Maysles,Stella Mozgawa,7.4,2006,
8,Mishima: A Life in Four Chapters,Paul Schrader,Stella Mozgawa,7.9,1985,
9,Wings of Desire,Wim Wenders,Stella Mozgawa,8,1987,
10,The Double Life of Véronique,Krzysztof Kieslowski,Stella Mozgawa,7.8,1991,
1,The 400 Blows,François Truffaut,Bong Joon-ho,8.1,1959,
2,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Bong Joon-ho,8.1,1982,
3,The Ballad of Narayama,Keisuke Kinoshita,Bong Joon-ho,8,1958,
4,Things to Come,William Cameron Menzies,Bong Joon-ho,8,1958,
5,Lola Montès,Max Ophuls,Bong Joon-ho,7.3,1955,
6,Nashville,Robert Altman,Bong Joon-ho,7.7,1975,
7,Life Is Sweet,Mike Leigh,Bong Joon-ho,7.5,1990,
8,The Man Who Fell to Earth,Nicolas Roeg,Bong Joon-ho,6.7,1976,
9,Rushmore,Wes Anderson,Bong Joon-ho,7.7,1998,Yes
10,Being John Malkovich,Spike Jonze,Bong Joon-ho,7.7,1999,
1,For All Mankind,Al Reinert,Geoff Dyer,8.2,1989,
2,Brief Encounter,David Lean,Geoff Dyer,8,1945,
3,Bad Timing,Nicolas Roeg,Geoff Dyer,7,1980,
4,Elevator to the Gallows,Louis Malle,Geoff Dyer,8,1958,
5,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Geoff Dyer,7.9,1970,
6,The Thin Red Line,Terrence Malick,Geoff Dyer,7.6,1998,
7,The Night Porter,Liliana Cavani,Geoff Dyer,6.7,1974,
8,Koyaanisqatsi,Godfrey Reggio,Geoff Dyer,8.3,1982,Yes
9,Red Desert,Michelangelo Antonioni,Geoff Dyer,7.6,1964,
10,Tokyo Story,Yasujiro Ozu,Geoff Dyer,8.2,1953,
1,The Tales of Hoffmann,Michael Powell and Emeric Pressburger,Kim Newman,7.3,1951,
2,Seconds,John Frankenheimer,Kim Newman,7.7,1966,
3,The Night of the Hunter,Charles Laughton,Kim Newman,8,1955,
4,Eyes Without a Face,Georges Franju,Kim Newman,7.7,1960,
5,Rosemary's Baby,Roman Polanski,Kim Newman,8,1968,Yes
6,The Spirit of the Beehive,Víctor Erice,Kim Newman,7.9,1973,
7,The Most Dangerous Game,Ernest B. Schoedsack and Irving Pichel,Kim Newman,7.2,1932,
8,Sisters,Brian De Palma,Kim Newman,6.9,1972,
9,The Living Skeleton,Hiroshi Matsuno,Kim Newman,6.3,1968,
10,The Uninvited,Lewis Allen,Kim Newman,7.3,1944,
1,3 Women,Robert Altman,Jonathan Caouette,7.8,1977,
2,Au revoir les enfants,Louis Malle,Jonathan Caouette,8,1987,
3,Bad Timing,Nicolas Roeg,Jonathan Caouette,7,1980,
4,Carnival of Souls,Herk Harvey,Jonathan Caouette,7.1,1962,
5,Days of Heaven,Terrence Malick,Jonathan Caouette,7.9,1978,
6,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Jonathan Caouette,7.6,1975,
7,Harold and Maude,Hal Ashby,Jonathan Caouette,7.9,1971,
8,My Own Private Idaho,Gus Van Sant,Jonathan Caouette,7.1,1991,
9,Repulsion,Roman Polanski,Jonathan Caouette,7.7,1965,
10,A Woman Under the Influence,John Cassavetes,Jonathan Caouette,8.2,1974,
1,Andrei Rublev,Andrei Tarkovsky,Daniel Lopatin,8.2,1966,
1,Ivan's Childhood,Andrei Tarkovsky,Daniel Lopatin,8.1,1962,
2,Scenes from a Marriage,Ingmar Bergman,Daniel Lopatin,8.5,1974,
3,A Constant Forge,Charles Kiselyak,Daniel Lopatin,7.4,2000,
4,Dead Ringers,David Cronenberg,Daniel Lopatin,7.3,1988,
5,La haine,Mathieu Kassovitz,Daniel Lopatin,8.1,1995,
6,The Silence of the Lambs,Jonathan Demme,Daniel Lopatin,8.6,1991,Yes
6,The Vanishing,George Sluizer,Daniel Lopatin,7.7,1988,
7,Mishima: A Life in Four Chapters,Paul Schrader,Daniel Lopatin,7.9,1985,
8,Hoop Dreams,Steve James,Daniel Lopatin,8.3,1994,
9,RoboCop,Paul Verhoeven,Daniel Lopatin,7.5,1987,
10,Fishing with John,John Lurie,Daniel Lopatin,8.1,1991,
1,Zéro de conduite (Zero for Conduct),Jean Vigo,Keegan McHargue,7.3,1933,
2,The Scarlet Empress,Josef von Sternberg,Keegan McHargue,7.6,1934,
3,Lola,Rainer Werner Fassbinder,Keegan McHargue,7.5,1981,
4,Sweet Movie,Dušan Makavejev,Keegan McHargue,6.2,1974,
5,Simon of the Desert,Luis Buñuel,Keegan McHargue,7.9,1965,
6,Woman in the Dunes,Hiroshi Teshigahara,Keegan McHargue,8.5,1964,
7,Jubilee,Derek Jarman,Keegan McHargue,6.1,1978,
8,Crumb,Terry Zwigoff,Keegan McHargue,8,1994,
9,Black Moon,Louis Malle,Keegan McHargue,6.3,1975,
10,Eating Raoul,Paul Bartel,Keegan McHargue,6.8,1982,
1,8½,Federico Fellini,Donald Fagen,8,1963,
2,Juliet of the Spirits,Federico Fellini,Donald Fagen,7.6,1965,
3,My Man Godfrey,Gregory La Cava,Donald Fagen,8,1936,
4,Billy Liar,John Schlesinger,Donald Fagen,7.4,1963,
5,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Donald Fagen,8.1,1982,
6,Day of Wrath,Carl Th. Dreyer,Donald Fagen,8.2,1943,
7,On the Waterfront,Elia Kazan,Donald Fagen,8.1,1954,
8,The Third Man,Carol Reed,Donald Fagen,8.1,1949,
9,Topsy-Turvy,Mike Leigh,Donald Fagen,7.3,1999,
10,Withnail and I,Bruce Robinson,Donald Fagen,7.7,1987,
1,Seven Samurai,Akira Kurosawa,Kazu Kibuishi,8.6,1954,
1,Throne of Blood,Akira Kurosawa,Kazu Kibuishi,8.1,1957,
1,Kagemusha,Akira Kurosawa,Kazu Kibuishi,8,1980,
2,Ugetsu,Kenji Mizoguchi,Kazu Kibuishi,8.3,1953,
3,L'Atalante,Jean Vigo,Kazu Kibuishi,7.8,1934,
4,Down by Law,Jim Jarmusch,Kazu Kibuishi,7.8,1986,
5,Three Colors: Blue,Krzysztof Kieslowski,Kazu Kibuishi,7.9,1993,
6,Yi Yi,Edward Yang,Kazu Kibuishi,8.1,2000,
7,Bottle Rocket,Wes Anderson,Kazu Kibuishi,7,1996,Yes
8,La Jetée,Chris Marker,Kazu Kibuishi,8.3,1962,
8,Sans Soleil,Chris Marker,Kazu Kibuishi,8,1983,
9,Grand Illusion,Jean Renoir,Kazu Kibuishi,8.1,1937,
10,Ikiru,Akira Kurosawa,Kazu Kibuishi,8.3,1952,
1,Stalker,Andrei Tarkovsky,Zola Jesus,8.2,1979,
2,Pitfall,Hiroshi Teshigahara,Zola Jesus,7.6,1962,
3,Winter Light,Ingmar Bergman,Zola Jesus,8.1,1963,
4,Kuroneko,Kaneto Shindo,Zola Jesus,7.7,1968,
5,Letter Never Sent,Mikhail Kalatozov,Zola Jesus,7.9,1960,
6,The Ascent,Larisa Shepitko,Zola Jesus,8.3,1977,
7,Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",Zola Jesus,7.5,1992,
8,Eraserhead,David Lynch,Zola Jesus,7.4,1977,
9,Jigoku,Nobuo Nakagawa,Zola Jesus,6.8,1960,
10,Kwaidan,Masaki Kobayashi,Zola Jesus,8,1964,
1,L'avventura,Michelangelo Antonioni,Roger Corman,7.9,1960,
2,Bicycle Thieves,Vittorio De Sica,Roger Corman,8.3,1948,Yes
3,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Roger Corman,7.9,1972,
4,8½,Federico Fellini,Roger Corman,8,1963,
5,"Ivan the Terrible, Part I",Sergei Eisenstein,Roger Corman,7.8,1944,
6,On the Waterfront,Elia Kazan,Roger Corman,8.1,1954,
7,Paths of Glory,Stanley Kubrick,Roger Corman,8.4,1957,
8,Rashomon,Akira Kurosawa,Roger Corman,8.2,1950,
9,The Rules of the Game,Jean Renoir,Roger Corman,8.1,1939,
10,The Seventh Seal,Ingmar Bergman,Roger Corman,8.2,1957,
1,Fish Tank,Andrea Arnold,Lena Dunham,7.3,2009,
2,Days of Heaven,Terrence Malick,Lena Dunham,7.9,1978,
3,Broadcast News,James L. Brooks,Lena Dunham,7.2,1987,
4,Weekend,Andrew Haigh,Lena Dunham,7.6,2011,
5,La Pointe Courte,Agnès Varda,Lena Dunham,7.1,1955,
5,Cléo from 5 to 7,Agnès Varda,Lena Dunham,8,1962,
5,Le bonheur,Agnès Varda,Lena Dunham,7.6,1965,
5,Vagabond,Agnès Varda,Lena Dunham,7.7,1985,
6,The Marriage of Maria Braun,Rainer Werner Fassbinder,Lena Dunham,7.8,1979,
6,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Lena Dunham,8.1,1974,
7,Picnic at Hanging Rock,Peter Weir,Lena Dunham,7.5,1975,
8,Straw Dogs,Sam Peckinpah,Lena Dunham,7.5,1971,
8,Dead Ringers,David Cronenberg,Lena Dunham,7.3,1988,
9,Through a Glass Darkly,Ingmar Bergman,Lena Dunham,8.1,1961,
10,The War Room,Chris Hegedus and D. A. Pennebaker,Lena Dunham,7.4,1993,
1,The 39 Steps,Alfred Hitchcock,Haskell Wexler,7.7,1935,Yes
2,The 400 Blows,François Truffaut,Haskell Wexler,8.1,1959,
3,The Battle of Algiers,Gillo Pontecorvo,Haskell Wexler,8.1,1966,
4,Breathless,Jean-Luc Godard,Haskell Wexler,7.9,1960,
5,Children of Paradise,Marcel Carné,Haskell Wexler,8.4,1945,
6,The Cranes Are Flying,Mikhail Kalatozov,Haskell Wexler,8.3,1957,
7,Les enfants terribles,Jean-Pierre Melville,Haskell Wexler,7.1,1950,
8,"Lacombe, Lucien",Louis Malle,Haskell Wexler,7.7,1974,
9,Weekend,Jean-Luc Godard,Haskell Wexler,7.6,2011,
10,Paisan,Roberto Rossellini,Haskell Wexler,7.7,1946,
1,Alphaville,Jean-Luc Godard,Nicholas Stoller,7.2,1965,
2,Rushmore,Wes Anderson,Nicholas Stoller,7.7,1998,Yes
3,Broadcast News,James L. Brooks,Nicholas Stoller,7.2,1987,
4,Time Bandits,Terry Gilliam,Nicholas Stoller,7,1981,
5,Monty Python's Life of Brian,Terry Jones,Nicholas Stoller,8.1,1979,
6,The Ice Storm,Ang Lee,Nicholas Stoller,7.4,1997,
7,Amarcord,Federico Fellini,Nicholas Stoller,7.9,1973,
8,Scenes from a Marriage,Ingmar Bergman,Nicholas Stoller,8.5,1974,
9,Paths of Glory,Stanley Kubrick,Nicholas Stoller,8.4,1957,
10,Being John Malkovich,Spike Jonze,Nicholas Stoller,7.7,1999,
11,This Is Spinal Tap,Rob Reiner,Nicholas Stoller,7.9,1984,
1,Sweet Smell of Success,Alexander Mackendrick,Andrew Loog Oldham,8.1,1957,
2,Army of Shadows,Jean-Pierre Melville,Andrew Loog Oldham,8.2,1969,
3,Le samouraï,Jean-Pierre Melville,Andrew Loog Oldham,8.1,1967,
4,Les cousins,Claude Chabrol,Andrew Loog Oldham,7.3,1959,
5,Breathless,Jean-Luc Godard,Andrew Loog Oldham,7.9,1960,
6,Touchez pas au grisbi,Jacques Becker,Andrew Loog Oldham,7.8,1954,
7,Le cercle rouge,Jean-Pierre Melville,Andrew Loog Oldham,8,1970,
8,The Battle of Algiers,Gillo Pontecorvo,Andrew Loog Oldham,8.1,1966,
9,La haine,Mathieu Kassovitz,Andrew Loog Oldham,8.1,1995,
10,Brief Encounter,David Lean,Andrew Loog Oldham,8,1945,
1,Beauty and the Beast,Jean Cocteau,Andrew Weil,7.9,1946,
2,Brazil,Terry Gilliam,Andrew Weil,7.9,1985,
3,Crumb,Terry Zwigoff,Andrew Weil,8,1994,
4,House of Games,David Mamet,Andrew Weil,7.3,1987,
5,Mishima: A Life in Four Chapters,Paul Schrader,Andrew Weil,7.9,1985,
6,Nights of Cabiria,Federico Fellini,Andrew Weil,8.1,1957,
7,Paths of Glory,Stanley Kubrick,Andrew Weil,8.4,1957,
8,Rashomon,Akira Kurosawa,Andrew Weil,8.2,1950,
9,This Is Spinal Tap,Rob Reiner,Andrew Weil,7.9,1984,
10,The Wages of Fear,Henri-Georges Clouzot,Andrew Weil,8.1,1953,Yes
1,The Hit,Stephen Frears,Christopher Nolan,7.1,1984,
2,12 Angry Men,Sidney Lumet,Christopher Nolan,8.9,1957,
3,The Thin Red Line,Terrence Malick,Christopher Nolan,7.6,1998,
4,The Testament of Dr. Mabuse,Fritz Lang,Christopher Nolan,8,1933,
